;;4;;8;
5 797,3664755788;0,6619334148;23189,4659;2,647733659;46378,9318;5,295467318
5 800,8332044710;0,6507889342;23203,33282;2,603155737;46406,66564;5,206311474
5 804,2406228544;0,6398317414;23216,96249;2,559326966;46433,92498;5,118653931
5 807,5897453952;0,6290581272;23230,35898;2,516232509;46460,71796;5,032465018
5 810,8815694010;0,6184644612;23243,52628;2,473857845;46487,05256;4,947715689
5 814,1170751203;0,6080471914;23256,4683;2,432188765;46512,9366;4,864377531
5 817,2972260339;0,5978028444;23269,1889;2,391211377;46538,37781;4,782422755
5 820,4229691417;0,5877280253;23281,69188;2,350912101;46563,38375;4,701824202
5 823,4952352442;0,5778194173;23293,98094;2,311277669;46587,96188;4,622555339
5 826,5149392227;0,5680737819;23306,05976;2,272295128;46612,11951;4,544590255
5 829,4535527102;0,5585830355;23317,81421;2,234332142;46635,62842;4,468664284
5 832,3713182111;0,5491523875;23329,48527;2,19660955;46658,97055;4,3932191
5 835,2391647827;0,5398754906;23340,95666;2,159501962;46681,91332;4,319003925
5 838,0579464442;0,5307494138;23352,23179;2,122997655;46704,46357;4,24599531
5 840,8285026024;0,5217713020;23363,31401;2,087085208;46726,62802;4,174170416
5 843,5516583125;0,5129383751;23374,20663;2,0517535;46748,41327;4,103507001
5 846,2282245133;0,5042479277;23384,9129;2,016991711;46769,8258;4,033983421
5 848,8589982743;0,4956973278;23395,43599;1,982789311;46790,87199;3,965578623
5 851,4447630289;0,4872840165;23405,77905;1,949136066;46811,5581;3,898272132
5 853,9862888141;0,4790055063;23415,94516;1,916022025;46831,89031;3,832044051
5 856,4595648392;0,4709401948;23425,83826;1,883760779;46851,67652;3,767521558
5 858,9152940704;0,4629228187;23435,66118;1,851691275;46871,32235;3,70338255
5 861,3290090557;0,4550332252;23445,31604;1,820132901;46890,63207;3,640265802
5 863,7014286060;0,4472692030;23454,80571;1,789076812;46909,61143;3,578153624
5 866,0332592359;0,4396286069;23464,13304;1,758514428;46928,26607;3,517028855
5 868,3251953769;0,4321093565;23473,30078;1,728437426;46946,60156;3,456874852
5 870,5779195791;0,4247094349;23482,31168;1,69883774;46964,62336;3,397675479
5 872,7921027215;0,4174268870;23491,16841;1,669707548;46982,33682;3,339415096
5 874,9684042048;0,4102598181;23499,87362;1,641039273;46999,74723;3,282078545
5 877,1074721525;0,4032063927;23508,42989;1,612825571;47016,85978;3,225651142
5 879,1890979730;0,3963336998;23516,75639;1,585334799;47033,51278;3,170669598
5 881,2559556989;0,3895011882;23525,02382;1,558004753;47050,04765;3,116009506
5 883,2874523919;0,3827771663;23533,14981;1,531108665;47066,29962;3,06221733
5 885,2841930575;0,3761600166;23541,13677;1,504640066;47082,27354;3,009280133
5 887,2467723526;0,3696481724;23548,98709;1,478592689;47097,97418;2,957185379
5 889,1757747614;0,3632401153;23556,7031;1,452960461;47113,4062;2,905920922
5 891,0717747708;0,3569343740;23564,2871;1,427737496;47128,5742;2,855474992
5 892,9353370391;0,3507295220;23571,74135;1,402918088;47143,4827;2,805836176
5 894,7670165662;0,3446241757;23579,06807;1,378496703;47158,13613;2,756993406
5 896,5673588568;0,3386169929;23586,26944;1,354467972;47172,53887;2,708935944
5 898,3193553997;0,3327652986;23593,27742;1,331061194;47186,55484;2,662122389
5 900,0589227257;0,3269496214;23600,23569;1,307798485;47200,47138;2,615596971
5 901,7687288391;0,3212283208;23607,07492;1,284913283;47214,14983;2,569826567
5 903,4492829501;0,3156002000;23613,79713;1,2624008;47227,59426;2,5248016
5 905,1010855577;0,3100640936;23620,40434;1,240256374;47240,80868;2,480512748
5 906,7246285993;0,3046188657;23626,89851;1,218475463;47253,79703;2,436950926
5 908,3203955951;0,2992634088;23633,28158;1,197053635;47266,56316;2,39410727
5 909,8888617917;0,2939966409;23639,55545;1,175986564;47279,11089;2,351973127
5 911,4304943070;0,2888175043;23645,72198;1,155270017;47291,44395;2,310540034
5 912,9457522649;0,2837249637;23651,78301;1,134899855;47303,56602;2,269799709
5 914,4203204438;0,2787676533;23657,68128;1,115070613;47315,36256;2,230141226
5 915,8844279991;0,2738444375;23663,53771;1,09537775;47327,07542;2,1907555
5 917,3234874469;0,2690048372;23669,29395;1,076019349;47338,5879;2,152038697
5 918,7379273619;0,2642478882;23674,95171;1,056991553;47349,90342;2,113983106
5 920,1281689814;0,2595726404;23680,51268;1,038290562;47361,02535;2,076581123
5 921,4946263387;0,2549781554;23685,97851;1,019912622;47371,95701;2,039825243
5 922,8377063770;0,2504635056;23691,35083;1,001854023;47382,70165;2,003708045
5 924,1578090814;0,2460277724;23696,63124;0,98411109;47393,26247;1,968222179
5 925,4553275871;0,2416700446;23701,82131;0,966680178;47403,64262;1,933360357
5 926,7306483057;0,2373894174;23706,92259;0,949557669;47413,84519;1,899115339
5 927,9717227746;0,2332266608;23711,88689;0,932906643;47423,77378;1,865813286
5 929,2039934302;0,2290967897;23716,81597;0,916387159;47433,63195;1,832774318
5 930,4151826646;0,2250413379;23721,66073;0,900165352;47443,32146;1,800330703
5 931,6056511700;0,2210594125;23726,4226;0,88423765;47452,84521;1,7684753
5 932,7757534647;0,2171501212;23731,10301;0,868600485;47462,20603;1,73720097
5 933,9258380021;0,2133125708;23735,70335;0,853250283;47471,4067;1,706500566
5 935,0562472689;0,2095458662;23740,22499;0,838183465;47480,44998;1,67636693
5 936,1673178933;0,2058491102;23744,66927;0,823396441;47489,33854;1,646792882
5 937,2593807387;0,2022214020;23749,03752;0,808885608;47498,07505;1,617771216
5 938,3327610081;0,1986618369;23753,33104;0,794647348;47506,66209;1,589294695
5 939,3773180249;0,1952040990;23757,50927;0,780816396;47515,01854;1,561632792
5 940,4144655301;0,1917774282;23761,65786;0,767109713;47523,31572;1,534219426
5 941,4338699872;0,1884161658;23765,73548;0,753664663;47531,47096;1,507329326
5 942,4358349528;0,1851193855;23769,74334;0,740477542;47539,48668;1,480955084
5 943,4206587854;0,1818861549;23773,68264;0,727544619;47547,36527;1,455089239
5 944,3886347385;0,1787155348;23777,55454;0,714862139;47555,10908;1,429724279
5 945,3400510455;0,1756065795;23781,3602;0,702426318;47562,72041;1,404852636
5 946,2751910066;0,1725583361;23785,10076;0,690233344;47570,20153;1,380466689
5 947,1943330731;0,1695698450;23788,77733;0,67827938;47577,55466;1,35655876
5 948,0977509303;0,1666401397;23792,391;0,666560559;47584,78201;1,333121117
5 948,9769095835;0,1637966828;23795,90764;0,655186731;47591,81528;1,310373462
5 949,8498320329;0,1609810591;23799,39933;0,643924236;47598,79866;1,287848473
5 950,7078209647;0,1582212917;23802,83128;0,632885167;47605,66257;1,265770334
5 951,5511318461;0,1555163886;23806,20453;0,622065554;47612,40905;1,244131109
5 952,3800157722;0,1528653519;23809,52006;0,611461408;47619,04013;1,222922815
5 953,1947195387;0,1502671787;23812,77888;0,601068715;47625,55776;1,202137429
5 953,9954857197;0,1477208612;23815,98194;0,590883445;47631,96389;1,181766889
5 954,7825527368;0,1452253875;23819,13021;0,58090155;47638,26042;1,1618031
5 955,5561549300;0,1427797421;23822,22462;0,571118969;47644,44924;1,142237937
5 956,3165226304;0,1403829067;23825,26609;0,561531627;47650,53218;1,123063253
5 957,0564722866;0,1380571177;23828,22589;0,552228471;47656,45178;1,104456941
5 957,7911730587;0,1357543757;23831,16469;0,543017503;47662,32938;1,086035006
5 958,5133047782;0,1334973879;23834,05322;0,533989552;47668,10644;1,067979104
5 959,2230824444;0,1312851314;23836,89233;0,525140526;47673,78466;1,050281051
5 959,9207173798;0,1291165840;23839,68287;0,516466336;47679,36574;1,032932672
5 960,6064172889;0,1269907253;23842,42567;0,507962901;47684,85134;1,015925803
5 961,2803863222;0,1249065378;23845,12155;0,499626151;47690,24309;0,999252302
5 961,9428251373;0,1228630072;23847,7713;0,491452029;47695,5426;0,982904057
5 962,5939309593;0,1208591239;23850,37572;0,483436496;47700,75145;0,966872991
5 963,2338976374;0,1188938837;23852,93559;0,475575535;47705,87118;0,95115107
5 963,8566791013;0,1169853817;23855,42672;0,467941527;47710,85343;0,935883053
5 964,4750425272;0,1150940800;23857,90017;0,46037632;47715,80034;0,92075264
5 965,0828268598;0,1132384609;23860,33131;0,452953844;47720,66261;0,905907687
5 965,6802130505;0,1114175516;23862,72085;0,445670206;47725,4417;0,891340413
5 966,2673789556;0,1096303895;23865,06952;0,438521558;47730,13903;0,877043116
5 966,8444993878;0,1078760235;23867,378;0,431504094;47734,756;0,863008188
5 967,4117461709;0,1061535145;23869,64698;0,424614058;47739,29397;0,849228116
5 967,9692881894;0,1044619366;23871,87715;0,417847746;47743,75431;0,835695492
5 968,5172914374;0,1028003781;23874,06917;0,411201512;47748,13833;0,822403025
5 969,0559190734;0,1011679424;23876,22368;0,40467177;47752,44735;0,809343539
5 969,5800824327;0,0995796537;23878,32033;0,398318615;47756,64066;0,796637229
5 970,1005270025;0,0980025684;23880,40211;0,392010273;47760,80422;0,784020547
5 970,6120673400;0,0964520231;23882,44827;0,385808092;47764,89654;0,771616185
5 971,1148557500;0,0949271898;23884,45942;0,379708759;47768,91885;0,759417518
5 971,6090419324;0,0934272595;23886,43617;0,373709038;47772,87234;0,747418076
5 972,0947730279;0,0919514433;23888,37909;0,367805773;47776,75818;0,735611546
5 972,5721936612;0,0904989729;23890,28877;0,361995891;47780,57755;0,723991783
5 973,0414459840;0,0890691012;23892,16578;0,356276405;47784,33157;0,71255281
5 973,5026697173;0,0876611033;23894,01068;0,350644413;47788,02136;0,701288827
5 973,9560021937;0,0862742766;23895,82401;0,345097106;47791,64802;0,690194213
5 974,3971605916;0,0849215056;23897,58864;0,339686022;47795,17728;0,679372044
5 974,8351887878;0,0835748108;23899,34076;0,334299243;47798,68151;0,668598487
5 975,2657225041;0,0822473258;23901,06289;0,328989303;47802,12578;0,657978606
5 975,6888899430;0,0809384424;23902,75556;0,323753769;47805,51112;0,647507539
5 976,1048171147;0,0796475772;23904,41927;0,318590309;47808,83854;0,637180618
5 976,5136278754;0,0783741718;23906,05451;0,313496687;47812,10902;0,626993374
5 976,9154439644;0,0771176927;23907,66178;0,308470771;47815,32355;0,616941542
5 977,3103850401;0,0758776319;23909,24154;0,303510528;47818,48308;0,607021055
5 977,6985687160;0,0746535067;23910,79427;0,298614027;47821,58855;0,597228053
5 978,0801105940;0,0734448598;23912,32044;0,293779439;47824,64088;0,587558879
5 978,4514061113;0,0722631224;23913,80562;0,289052489;47827,61125;0,578104979
5 978,8200669529;0,0710840177;23915,28027;0,284336071;47830,56054;0,568672142
5 979,1824199975;0,0699191758;23916,72968;0,279676703;47833,45936;0,559353406
5 979,5385731641;0,0687682402;23918,15429;0,275072961;47836,30859;0,550145922
5 979,8886325255;0,0676308797;23919,55453;0,270523519;47839,10906;0,541047037
5 980,2327023446;0,0665067874;23920,93081;0,266027149;47841,86162;0,532054299
5 980,5708851001;0,0653956808;23922,28354;0,261582723;47844,56708;0,523165446
5 980,9032815202;0,0642973013;23923,61313;0,257189205;47847,22625;0,51437841
5 981,2299906121;0,0632114137;23924,91996;0,252845655;47849,83992;0,50569131
5 981,5511096876;0,0621378059;23926,20444;0,248551224;47852,40888;0,497102447
5 981,8636050404;0,0610868441;23927,45442;0,244347376;47854,90884;0,488694753
5 982,1738829494;0,0600371301;23928,69553;0,24014852;47857,39106;0,480297041
5 982,4788520038;0,0589991931;23929,91541;0,235996772;47859,83082;0,471993545
5 982,7786030478;0,0579729069;23931,11441;0,231891627;47862,22882;0,463783255
5 983,0732253767;0,0569581651;23932,2929;0,22783266;47864,5858;0,455665321
5 983,3628067542;0,0559548807;23933,45123;0,223819523;47866,90245;0,447639046
5 983,6474334476;0,0549629848;23934,58973;0,219851939;47869,17947;0,439703879
5 983,9271902476;0,0539824263;23935,70876;0,215929705;47871,41752;0,431859411
5 984,2021604960;0,0530131707;23936,80864;0,212052683;47873,61728;0,424105365
5 984,4724261103;0,0520551992;23937,8897;0,208220797;47875,77941;0,416441594
5 984,7354338194;0,0511179194;23938,94174;0,204471677;47877,88347;0,408943355
5 984,9965753984;0,0501824063;23939,9863;0,200729625;47879,9726;0,40145925
5 985,2532490125;0,0492582072;23941,013;0,197032829;47882,02599;0,394065658
5 985,5055311331;0,0483453575;23942,02212;0,19338143;47884,04425;0,38676286
5 985,7534969208;0,0474439036;23943,01399;0,189775615;47886,02798;0,379551229
5 985,9972202510;0,0465539024;23943,98888;0,18621561;47887,97776;0,372431219
5 986,2367737377;0,0456754197;23944,94709;0,182701679;47889,89419;0,365403358
5 986,4722287502;0,0448085294;23945,88892;0,179234118;47891,77783;0,358468236
5 986,7036554387;0,0439533128;23946,81462;0,175813251;47893,62924;0,351626502
5 986,9311227522;0,0431098569;23947,72449;0,172439428;47895,44898;0,344878855
5 987,1524817487;0,0422865113;23948,60993;0,169146045;47897,21985;0,33829209
5 987,3722703878;0,0414667382;23949,48908;0,165866953;47898,97816;0,331733906
5 987,5882988540;0,0406590132;23950,3532;0,162636053;47900,70639;0,325272105
5 987,8006315084;0,0398634378;23951,20253;0,159453751;47902,40505;0,318907502
5 988,0093316118;0,0390801147;23952,03733;0,156320459;47904,07465;0,312640917
5 988,2144613395;0,0383091467;23952,85785;0,153236587;47905,71569;0,306473174
5 988,4160818056;0,0375506359;23953,66433;0,150202544;47907,32865;0,300405087
5 988,6142530745;0,0368046826;23954,45701;0,14721873;47908,91402;0,294437461
5 988,8090341863;0,0360713844;23955,23614;0,144285538;47910,47227;0,288571075
5 989,0004831666;0,0353508354;23956,00193;0,141403342;47912,00387;0,282806683
5 989,1867913371;0,0346501387;23956,74717;0,138600555;47913,49433;0,27720111
5 989,3717780958;0,0339552226;23957,48711;0,135820891;47914,97422;0,271641781
5 989,5536003630;0,0332733079;23958,2144;0,133093232;47916,4288;0,266186463
5 989,7323123031;0,0326044663;23958,92925;0,130417865;47917,8585;0,26083573
5 989,9079671483;0,0319487623;23959,63187;0,127795049;47919,26374;0,255590098
5 990,0806172229;0,0313062520;23960,32247;0,125225008;47920,64494;0,250450016
5 990,2503139523;0,0306769828;23961,00126;0,122707931;47922,00251;0,245415862
5 990,4171078816;0,0300609927;23961,66843;0,120243971;47923,33686;0,240487942
5 990,5810486886;0,0294583096;23962,32419;0,117833238;47924,64839;0,235666477
5 990,7421852008;0,0288689509;23962,96874;0,115475803;47925,93748;0,230951607
5 990,8989950961;0,0282986173;23963,59598;0,113194469;47927,19196;0,226388938
5 991,0546930302;0,0277357819;23964,21877;0,110943128;47928,43754;0,221886255
5 991,2077277283;0,0271862556;23964,83091;0,108745022;47929,66182;0,217490045
5 991,3581447636;0,0266500094;23965,43258;0,106600038;47930,86516;0,213200076
5 991,5059889274;0,0261270019;23966,02396;0,104508008;47932,04791;0,209016015
5 991,6513042434;0,0256171789;23966,60522;0,102468716;47933,21043;0,204937431
5 991,7941339811;0,0251204732;23967,17654;0,100481893;47934,35307;0,200963786
5 991,9345206660;0,0246368047;23967,73808;0,098547219;47935,47617;0,197094437
5 992,0725060970;0,0241660798;23968,29002;0,096664319;47936,58005;0,193328638
5 992,2081313561;0,0237081920;23968,83253;0,094832768;47937,66505;0,189665536
5 992,3401151162;0,0232674104;23969,36046;0,093069642;47938,72092;0,186139283
5 992,4711630748;0,0228346983;23969,88465;0,091338793;47939,7693;0,182677586
5 992,5999695397;0,0224144252;23970,39988;0,089657701;47940,79976;0,179315402
5 992,7265728522;0,0220064319;23970,90629;0,088025727;47941,81258;0,176051455
5 992,8510106979;0,0216105461;23971,40404;0,086442184;47942,80809;0,172884369
5 992,9733201137;0,0212265831;23971,89328;0,084906332;47943,78656;0,169812665
5 993,0935375035;0,0208543457;23972,37415;0,083417383;47944,7483;0,166834765
5 993,2116986461;0,0204936246;23972,84679;0,081974498;47945,69359;0,163948996
5 993,3278387079;0,0201441987;23973,31135;0,080576795;47946,62271;0,16115359
5 993,4419922512;0,0198058357;23973,76797;0,079223343;47947,53594;0,158446686
5 993,5530807909;0,0194815149;23974,21232;0,07792606;47948,42465;0,15585212
